Date	Footfall_count
01-09-2022	1693518
01-10-2022	1449550
01-11-2022	1125952
01-12-2022	1231419
01-13-2022	1541835
01-14-2022	1728383
01-15-2022	1403734
01-16-2022	1379403
01-17-2022	1699242
01-18-2022	1301462
01-19-2022	1201583
01-20-2022	1471161
01-21-2022	1514369
01-22-2022	1241792
01-23-2022	1648529
01-24-2022	1397281
01-25-2022	1059741
01-26-2022	1198339
01-27-2022	1555773
01-28-2022	1632406
01-29-2022	1070691
01-30-2022	1714280
01-31-2022	1537573
02-01-2022	1200580
02-02-2022	1192973
02-03-2022	1339533
02-04-2022	1577790
02-05-2022	1399444
02-06-2022	1785846
02-07-2022	1591438
02-08-2022	1232591
02-09-2022	1386325
02-10-2022	1782705
02-11-2022	1914374
02-12-2022	1534080
02-13-2022	1815824
02-14-2022	1731473
02-15-2022	1479653
02-16-2022	1656217
02-17-2022	1977756
02-18-2022	2241123
02-19-2022	1826392
02-20-2022	2067788
02-21-2022	2215453
02-22-2022	1780987
02-23-2022	1752841
02-24-2022	1980803
02-25-2022	2098325
02-26-2022	1840996
02-27-2022	2145281
02-28-2022	1979422
03-01-2022	1635546
03-02-2022	1738406
03-03-2022	2038115
03-04-2022	2132807
03-05-2022	1830246
03-06-2022	2180940
03-07-2022	2017973
03-08-2022	1644052
03-09-2022	1844208
03-10-2022	2184044
03-11-2022	2297374
03-12-2022	1990954
03-13-2022	2288800
03-14-2022	2200172
03-15-2022	1858773
03-16-2022	1993734
03-17-2022	2221946
03-18-2022	2308212
03-19-2022	2099056
03-20-2022	2366751
03-21-2022	2158280
03-22-2022	1856872
03-23-2022	1962056
03-24-2022	2234353
03-25-2022	2290587
03-26-2022	2009500
03-27-2022	2307110
03-28-2022	2131678
03-29-2022	1736292
03-30-2022	1887350
03-31-2022	2196867
04-01-2022	2271659
04-02-2022	1913117
04-03-2022	2204115
04-04-2022	2139084
04-05-2022	1848862
04-06-2022	1978691
04-07-2022	2216218
04-08-2022	2318977
04-09-2022	1946502
04-10-2022	2293548
04-11-2022	2181446
04-12-2022	1883294
04-13-2022	2040285
04-14-2022	2337501
04-15-2022	2311092
04-16-2022	1894331
04-17-2022	2214519
04-18-2022	2288902
04-19-2022	1979882
04-20-2022	2027836
04-21-2022	2279905
04-22-2022	2293242
04-23-2022	1826772
04-24-2022	2293427
04-25-2022	2182717
04-26-2022	1863020
04-27-2022	1996601
04-28-2022	2258077
04-29-2022	2275133
04-30-2022	1877559
05-01-2022	2263646
05-02-2022	2136427
05-03-2022	1764745
05-04-2022	1953128
05-05-2022	2234701
05-06-2022	2279258
05-07-2022	1869222
05-08-2022	2248861
05-09-2022	2231804
05-10-2022	1900738
05-11-2022	2025161
05-12-2022	2327671
05-13-2022	2352035
05-14-2022	1979713
05-15-2022	2395894
05-16-2022	2278197
05-17-2022	2036479
05-18-2022	2097515
05-19-2022	2348193
05-20-2022	2346625
05-21-2022	1988843
05-22-2022	2350927
05-23-2022	2329044
05-24-2022	2020742
05-25-2022	2147736
05-26-2022	2379860
05-27-2022	2384721
05-28-2022	1994151
05-29-2022	2096466
05-30-2022	2312179
05-31-2022	2108054
06-01-2022	1999087
06-02-2022	2213168
06-03-2022	2332592
06-04-2022	1981408
06-05-2022	2387196
06-06-2022	2279743
06-07-2022	2052377
06-08-2022	2155747
06-09-2022	2371014
06-10-2022	2364754
06-11-2022	2085927
